channel	touchpoint	intent	outcome	amount
Organic Search	Documentation	Trial Signup	Activated	42
Organic Search	Documentation	Newsletter	Nurturing	18
Organic Search	Case Studies	Sales Call	Activated	26
Organic Search	Product Demo	Trial Signup	Activated	16
Social Media	Product Demo	Trial Signup	Activated	29
Social Media	Case Studies	Newsletter	Nurturing	23
Social Media	Documentation	Newsletter	Nurturing	13
Social Media	Product Demo	Sales Call	Activated	12
Partner Referral	Product Demo	Sales Call	Activated	31
Partner Referral	Case Studies	Sales Call	Activated	21
Partner Referral	Documentation	Trial Signup	Activated	14
Partner Referral	Case Studies	Newsletter	Nurturing	10
